Designator,Mid X,Mid Y,Layer,Rotation
C1,117.00,-107.50,T,90.00
C2,117.00,-111.50,T,270.00
C3,117.00,-91.00,T,90.00
C4,117.00,-94.50,T,270.00
H1,112.50,-112.50,T,0.00
H2,112.50,-87.50,T,0.00
J2,125.00,-109.50,T,0.00
J3,125.00,-90.50,T,0.00
R1,112.00,-94.00,T,180.00
R2,112.00,-96.00,T,180.00
R3,112.00,-102.50,T,180.00
R4,112.00,-106.50,T,180.00
R5,112.00,-104.50,T,180.00
R6,112.00,-100.00,T,180.00
R7,112.00,-91.50,T,180.00
R8,112.00,-108.50,T,180.00
R9,112.00,-98.00,T,180.00
U1,107.50,-98.00,T,180.00
